project,fire,site,lat,lon,tran,sample,age,Age.Class,decid.dens,decid.bio,spruce.dens,spruce.bio,rel.decid.dens,rel.decid.bio,new.bio.dens,traj.20,treesnagsolC,aboveC,belowC,treesnagsolN,aboveN,belowN,treesnagsolCN,aboveCN,belowCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,BD69,BD1,65.09479763,-150.2819632,1,1,39,> 20 years,0.3,1030.69,5.06,2187.22,0.055970149,0.320297957,0.188134053,Spruce,5650.25,1449.954,4200.291,95.91,8.8971776,87.151208,58.91117569,162.9678607,48.19544211,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,BD69,BD2,65.15938606,-150.1377545,2,1,70,> 20 years,0,0,2.16,1479.73,0,0,0,Spruce,6668.63,611.8,6056.829,184.29,3.742648,180.562868,36.18645112,163.4671495,33.54415593,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,BD69,BD3,65.10201956,-150.260776,3,1,39,> 20 years,0.6,2877.41,1.5,498.93,0.285714286,0.85222756,0.568970923,Mixed,4815.94,2042.862,2773.071,85.52,10.9086048,75.068728,56.31412448,187.2706948,36.94042878,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,BD69,BD4,65.07396,-150.3371,4,1,40,> 20 years,0.89,10528.58,0,0,1,1,1,Deciduous,7915.38,5330.522,2584.851,122.82,38.5840128,84.366728,64.44833382,138.1536448,30.63827484,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,BD69,BD5,65.15992,-150.09578,5,1,40,> 20 years,0.26,2030.09,1.43,2696.01,0.153846154,0.429548676,0.291697415,Spruce,7096.9,2448.646,4648.253,174.35,17.0095984,157.437224,40.70435218,143.9567203,29.52448526,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,BD69,BD6,65.16165,-150.07312,6,1,41,> 20 years,0.38,5396.38,0.26,163.91,0.59375,0.970521322,0.782135661,Deciduous,6326.66,2803.606,3523.045,143.54,18.8697984,124.75724,44.0755627,148.5763621,28.23920279,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,BF81,BF1,63.87131,-145.85481,1,1,29,> 20 years,1.04,986.79,0.65,163.99,0.615384615,0.857496654,0.736440635,Deciduous,3014.83,713.438,2301.39,86.39,5.1859312,81.39216,34.89835106,137.5718212,28.27532775,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,BF81,BF2,63.86645,-145.84806,2,1,29,> 20 years,1.44,4047.21,0.39,137.51,0.786885246,0.967139976,0.877012611,Deciduous,5421.84,2153.24,3268.596,118.11,14.99548,103.427968,45.90641271,143.5926026,31.60263189,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,BF81,BF3,63.87115,-145.85592,3,1,29,> 20 years,0.13,6.76,1.51,405.2,0.079268293,0.01640936,0.047838827,Spruce,4084.25,455.412,3628.841,133.52,2.0280208,131.723612,30.58839487,224.559827,27.54890293,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,BG47,BG1,63.79029,-145.04183,1,1,62,> 20 years,0.14,8879.4,1.63,1308.83,0.079096045,0.871535095,0.47531557,Mixed,8463.93,6984.732,1479.196,91.18,44.5441008,47.821648,92.82691859,156.8048715,30.93151453,,,,,,,,,,,,,,,,,,,,,,,,,,,,
