site,fire.x,lat,lon,decid.dens.pre,decid.bio.pre,spruce.dens.pre,spruce.bio.pre,rel.decid.dens.pre,rel.decid.bio.pre,decid.dens.post,decid.bio.post,spruce.dens.post,spruce.bio.post,rel.decid.dens.post,rel.decid.bio.post,new.bio.dens,traj.20,postsol.depth,presol.depth,lostsol.depth,presol.c,postsol.c,lostsol.c,preabove.c,prebelow.c,pretot.c.new,preabove.n,prebelow.n,pretot.n.new,preabove.cn,prebelow.cn,pretot.cn.new,postabove.c,postbelow.c,posttot.c.new,postabove.n,postbelow.n,posttot.n.new,postabove.cn,postbelow.cn,posttot.cn.new,lostabove.c,lostbelow.c,losttot.c.new,lostabove.n,lostbelow.n,losttot.n.new,lostabove.cn,lostbelow.cn,losttot.cn.new
BF58,BF,65.28902,146.55051,0.016666667,1128.718055,0.27,2586.094633,0.058139536,0.303842522,0.79,NA,0.7,NA,0.530201342,0.530201342,0.530201342,Mixed,3.686363636,18.97272727,15.28636364,4719.016058,1284.939091,3434.076967,759.2449333,4762.016058,5521.260991,4.040995967,155.552333,159.593329,187.8855954,30.61359458,34.59581316,613.6446283,1327.939091,1941.583719,1.7348287,48.344818,50.0796467,353.7205883,27.46807509,38.76991647,244.7355967,3477.076967,3721.812564,2.351978383,107.717515,110.0694934,104.0552067,32.27958765,33.81329785
BF59,BF,65.28984,146.54884,0,0,0.58,3290.374598,0,0,0.86,NA,2.1,NA,0.290540541,0.290540541,0.290540541,Spruce,11.02727273,28.2,17.17272727,7054.68054,3732.452727,3322.227813,2326.345083,7097.68054,9424.025623,12.64197203,235.059498,247.70147,184.0175787,30.19525099,38.04590107,1397.940838,3775.452727,5173.393565,2.854359943,136.294818,139.1491779,489.7563257,27.70063295,37.17875766,996.0391617,3365.227813,4361.266975,9.92419538,103.518956,113.4431514,100.3647272,32.50832449,38.44451535
BF60,BF,65.28783,146.54785,0.011111111,469.0291377,0.14,917.1830023,0.073529411,0.338353073,0,0,0.6,1.62,0,0,0,Spruce,7.959090909,24.92727273,16.96818182,6226.267522,2952.095455,3274.172067,707.9048333,6269.267522,6977.172355,3.876370773,206.859913,210.7362838,182.6205167,30.30682664,33.10854795,688.5815917,2995.095455,3683.677047,2.497551521,111.397545,113.8950965,275.7026575,26.88654813,32.34271851,171.9753875,3317.172067,3489.147455,1.419234139,95.972367,97.39160114,121.1747821,34.56382468,35.82595844
BF61,BF,65.34931,146.66884,0,0,0.47,1937.084934,0,0,0.1,13.28,0.6,13.27,0.142857143,0.500188324,0.321522734,Spruce,11.95454545,26.18181818,14.22727273,6007.22378,3182.75246,2824.47132,994.5448333,6050.22378,7044.768613,5.420814657,161.05138,166.4721947,183.4677804,37.5670409,42.31798967,777.7885508,3225.75246,4003.541011,2.179760808,72.07177,74.25153081,356.8228899,44.75750297,53.91863262,336.4007867,2867.47132,3203.872107,3.299261211,89.48961,92.78887121,101.9624592,32.04250549,34.52862466
BF64,BF,65.29941,146.72077,0,0,0.19,3695.120489,0,0,1,143.45,0,0,1,1,1,Deciduous,5.018181818,30.51818182,25.5,7641.473095,1504.141818,6137.331276,254.3385833,7684.473095,7938.811678,1.76741368,255.034204,256.8016177,143.9043876,30.13114702,30.91418095,157.9187083,1547.141818,1705.060526,0.339598108,53.307545,53.64714311,465.016455,29.02294259,31.78287654,113.6828042,6180.331276,6294.01408,1.436398495,202.236659,203.6730575,79.14433536,30.55989605,30.90253644
BF65,BF,65.29727,146.72076,0.016666667,422.0531691,0.55,2389.88073,0.029411765,0.15009356,0.4,4.55,0.4,4.91,0.5,0.480972516,0.490486258,Mixed,5.468181818,22.24545455,16.77727273,5547.429076,1815.157273,3732.271804,1208.45485,5590.429076,6798.883926,6.960970653,183.751919,190.7128897,173.6043593,30.42378608,35.6498396,849.418455,1858.157273,2707.575728,2.547099884,66.570273,69.11737288,333.4845486,27.91271823,39.17359146,462.5642202,3775.271804,4237.836024,4.478404213,117.691646,122.1700502,103.2877334,32.07765319,34.68801082
BF68,BF,65.28237,146.73661,0.016666667,362.1870133,0.3,1328.535757,0.05263158,0.214220226,0.5,23.8,0.6,0.57,0.454545455,0.976610587,0.715578021,Deciduous,10.89545455,24.10909091,13.21363636,6019.164267,3267.748182,2751.416085,427.6256,6062.164267,6489.789867,2.275257967,199.810016,202.085274,187.9459851,30.33964157,32.11411569,254.465345,3310.748182,3565.213527,0.50231359,115.213182,115.7154956,506.5866225,28.73584537,30.81016513,183.490255,2794.416085,2977.90634,1.799251827,86.791291,88.59054283,101.9814193,32.19696415,33.61426903
BF70,BF,65.11976,147.43454,0,0,0.77,2685.17384,0,0,4.4,386.52,4.1,6.22,0.517647059,0.98416255,0.750904805,Deciduous,9.004545455,29.92727273,20.92272727,7491.898522,3402.508182,4089.39034,1015.819133,7534.898522,8550.717655,5.702780027,249.942613,255.645393,178.1270062,30.14651416,33.44757186,825.1406717,3445.508182,4270.648854,2.270333948,128.903,131.1733339,363.4446256,26.72946465,32.55729442,330.9663075,4132.39034,4463.356648,3.490684292,121.549613,125.0402973,94.81416244,33.99756065,35.69534577
BF71,BF,65.11955,147.4299,0,0,0.97,1865.737191,0,0,3.7,180.79,2.1,17.26,0.637931034,0.91285029,0.775390662,Deciduous,6.418181818,24.10909091,17.69090909,6019.164267,2512.090909,3507.073358,875.4107333,6062.164267,6937.575,5.412487813,199.810016,205.2225038,161.7390678,30.33964157,33.8051377,516.681495,2555.090909,3071.772404,1.03225899,96.542091,97.57434999,500.5347495,26.46608213,31.48135144,392.5501883,3550.073358,3942.623546,4.426197697,103.777925,108.2041227,88.68790216,34.20836713,36.43690691
BF72,BF,65.11641,147.42867,0.016666667,380.502505,0.65,2598.734663,0.025,0.127718098,7.6,69.5,6.5,9.9,0.539007092,0.875314861,0.707160977,Deciduous,4.577272727,25.15454545,20.57727273,6283.796204,1695.291818,4588.504385,1854.0044,6326.796204,8180.800604,10.50238066,208.818217,219.3205977,176.5318226,30.29810471,37.30064887,1193.43841,1738.291818,2931.730228,2.43811392,64.559364,66.99747792,489.4924721,26.92547928,43.75881479,761.52624,4631.504385,5393.030625,8.16620797,144.768853,152.935061,93.25334878,31.9924092,35.26353336
